text,label
"Subject: Notes from Yesterday's Call
Hi Chris, just a reminder that our meeting has been moved to 3 PM today in the main conference room. Let me know if that doesn't work for you. Thanks, the Ops team",0
"Subject: Welcome to the Team!
Hi David, attached is your flight itinerary for the trip on the 15th. Departure is at 9:40 AM. Let me know if you need the hotel confirmation as well.",0
"Subject: Action Required: Verify Your Identity Now
Dear user, our records show your subscription has expired. Renew now at http://192.168.44.21/login.php using your card details to avoid losing access to all your saved files.",1
"Subject: Your Payment Failed - Update Billing Info
Congratulations! You have won a $500 cash prize in our monthly giveaway. To claim your reward, simply confirm your details at http://secure-update-account.com/verify before the offer expires.",1
"Subject: Security Alert: Unusual Sign-in Activity Detected
Congratulations! You have been selected to receive a $1000 gift card. To claim your prize, please confirm your personal details here: http://bank-security-check.net/login Failure to respond will result in.",1
Your recent payment of $49 could not be processed. Please update your billing information immediately by clicking here: http://paypal-account-verify.support/confirm to avoid service interruption.,1
"Hi Anika, thanks for your patience while we looked into this. The issue has been resolved and everything should be working normally now. Reach out if you notice anything else.",0
"Subject: Action Required: Verify Your Identity Now
IT Support: Your mailbox has exceeded its storage limit. Click http://bank-security-check.net/login and log in with your current password to increase your quota immediately or your emails will be deleted.",1
"Subject: Lunch Plans This Week?
Hi Maria, sharing the slides from today's presentation in case you want to review them again. Happy to answer any questions before the next session.",0
"Subject: Update Your Password to Avoid Suspension
Congratulations! You have been selected to receive a $500 gift card. To claim your prize, please confirm your personal details here: http://secure-update-account.com/verify",1
"Subject: Update Your Password to Avoid Suspension
Attention: unusual activity has been detected on your account from a new location. Please act now and confirm it was you at http://paypal-account-verify.support/confirm, or your account access will be restricted.",1
"Subject: Welcome to the Team!
Hey Priya, quick reminder that the project deliverables are due next Friday. Let me know if you need any help wrapping things up. Cheers, Lisa",0
"We could not verify your recent transaction of $199. To avoid having your card suspended, please log in and confirm your identity at http://192.168.44.21/login.php within 24 hours. Click here immediately.",1
"We noticed a login attempt from a new device. If this wasn't you, secure your account now by verifying your password at http://bank-security-check.net/login. Failure to act within 12 hours will result in account lock.",1
"Hey Fatima, quick reminder that the project deliverables are due next Friday. Let me know if you need any help wrapping things up. Cheers, the Ops team",0
"We could not verify your recent transaction of $99. To avoid having your card suspended, please log in and confirm your identity at http://amaz0n-delivery-issue.com/track within 24 hours. Unusual activity detected.",1
"Subject: Notes from Yesterday's Call
Hi Fatima, attached is the monthly newsletter with updates from the team, upcoming events, and a few articles we thought you'd enjoy. Have a great read!",0
"Subject: Team Meeting Rescheduled to 3 PM
Hi Priya, just a reminder that our meeting has been moved to 3 PM today in the main conference room. Let me know if that doesn't work for you. Thanks, Support Team",0
"Congratulations! You have won a $99 cash prize in our monthly giveaway. To claim your reward, simply confirm your details at http://secure-update-account.com/verify before the offer expires. Your account will be suspended.",1
"Subject: You Have Won a Prize! Claim Now
This is your final notice. Your account will be closed permanently unless you verify your information within 24 hours: http://bank-security-check.net/login. Failure to comply may result in legal action. Your account will be suspended.",1
"Subject: Your Flight Itinerary
Welcome aboard, Priya! We're excited to have you join the team. Your manager Support Team will reach out shortly to set up your onboarding schedule.",0
"Subject: Confirm Your Bank Details Immediately
Dear user, our records show your subscription has expired. Renew now at http://amaz0n-delivery-issue.com/track using your card details to avoid losing access to all your saved files. Immediate action required.",1
"Hey Wei, quick reminder that the project deliverables are due next Friday. Let me know if you need any help wrapping things up. Cheers, the HR team",0
"Hi Fatima, thanks for your patience while we looked into this. The issue has been resolved and everything should be working normally now. Reach out if you notice anything else.",0
"Subject: Final Notice: Your Package Could Not Be Delivered
Dear user, our records show your subscription has expired. Renew now at http://claim-your-prize-now.info/redeem using your card details to avoid losing access to all your saved files.",1
"Subject: Final Notice: Your Package Could Not Be Delivered
Your recent payment of $49 could not be processed. Please update your billing information immediately by clicking here: http://appleid-locked-support.com/unlock to avoid service interruption.",1
"Subject: Action Required: Verify Your Identity Now
Your package could not be delivered due to an incomplete address. Please confirm your shipping details and pay a small redelivery fee of $1000 at http://bit.ly/3xUrgentVerify to receive your item. Unusual activity detected.",1
"Subject: Confirm Your Bank Details Immediately
Dear user, our records show your subscription has expired. Renew now at http://paypal-account-verify.support/confirm using your card details to avoid losing access to all your saved files. Failure to respond will result in.",1
"Subject: Urgent: Your Account Will Be Suspended
Your recent payment of $49 could not be processed. Please update your billing information immediately by clicking here: http://192.168.44.21/login.php to avoid service interruption.",1
"Subject: Weekly Progress Report
Hi Anika, thanks for jumping on the call yesterday. I've summarized the key decisions in the shared doc. Let me know if I missed anything.",0
"We noticed a login attempt from a new device. If this wasn't you, secure your account now by verifying your password at http://amaz0n-delivery-issue.com/track. Failure to act within 12 hours will result in account lock.",1
"Hi John, just a reminder that our meeting has been moved to 3 PM today in the main conference room. Let me know if that doesn't work for you. Thanks, Michael",0
This is your final notice. Your account will be closed permanently unless you verify your information within 24 hours: http://secure-update-account.com/verify. Failure to comply may result in legal action.,1
"Hi David, thanks for your patience while we looked into this. The issue has been resolved and everything should be working normally now. Reach out if you notice anything else.",0
"Hi Maria, thanks for jumping on the call yesterday. I've summarized the key decisions in the shared doc. Let me know if I missed anything.",0
"Subject: Security Alert: Unusual Sign-in Activity Detected
We could not verify your recent transaction of $500. To avoid having your card suspended, please log in and confirm your identity at http://192.168.44.21/login.php within 24 hours.",1
"Subject: Urgent: Your Account Will Be Suspended
We noticed a login attempt from a new device. If this wasn't you, secure your account now by verifying your password at http://bit.ly/3xUrgentVerify. Failure to act within 12 hours will result in account lock.",1
"Welcome aboard, Maria! We're excited to have you join the team. Your manager the Ops team will reach out shortly to set up your onboarding schedule.",0
Your cloud storage account is almost full. Upgrade now at http://appleid-locked-support.com/unlock and enter your login credentials to avoid losing access to your files permanently. Limited time offer.,1
Your cloud storage account is almost full. Upgrade now at http://bank-security-check.net/login and enter your login credentials to avoid losing access to your files permanently.,1
"Hi Fatima, sharing the slides from today's presentation in case you want to review them again. Happy to answer any questions before the next session.",0
"Subject: Reminder: Project Deadline Next Friday
Hi Fatima, here's the weekly progress report. Overall things are on track, with two minor blockers noted in the doc. Let's discuss in standup tomorrow.",0
"Subject: Weekly Progress Report
Hi Priya, attached is your flight itinerary for the trip on the 15th. Departure is at 9:40 AM. Let me know if you need the hotel confirmation as well.",0
"Subject: Urgent: Your Account Will Be Suspended
Your cloud storage account is almost full. Upgrade now at http://paypal-account-verify.support/confirm and enter your login credentials to avoid losing access to your files permanently. Immediate action required.",1
Your package could not be delivered due to an incomplete address. Please confirm your shipping details and pay a small redelivery fee of $199 at http://amaz0n-delivery-issue.com/track to receive your item. Verify your identity.,1
"Subject: Your Order Has Shipped
Hi Wei, here's the weekly progress report. Overall things are on track, with two minor blockers noted in the doc. Let's discuss in standup tomorrow.",0
"Subject: Weekly Progress Report
Hi Chris, thanks for jumping on the call yesterday. I've summarized the key decisions in the shared doc. Let me know if I missed anything.",0
"Subject: Lunch Plans This Week?
Hi Wei, congrats on finishing the certification! Let Support Team know if you'd like to add it to your internal profile.",0
"Hi Chris, just confirming our call is still on for tomorrow at 10 AM. I'll send over the agenda beforehand so we can make the most of the time.",0
"Subject: Urgent: Your Account Will Be Suspended
We noticed a login attempt from a new device. If this wasn't you, secure your account now by verifying your password at http://paypal-account-verify.support/confirm. Failure to act within 12 hours will result in account lock. Act now.",1
"Hi Maria, congrats on finishing the certification! Let the Ops team know if you'd like to add it to your internal profile.",0
"Subject: Urgent: Your Account Will Be Suspended
Your package could not be delivered due to an incomplete address. Please confirm your shipping details and pay a small redelivery fee of $1000 at http://bit.ly/3xUrgentVerify to receive your item.",1
"Subject: You Have Won a Prize! Claim Now
Congratulations! You have been selected to receive a $250 gift card. To claim your prize, please confirm your personal details here: http://appleid-locked-support.com/unlock Confirm your details.",1
"Subject: Team Meeting Rescheduled to 3 PM
Hi Maria, thanks for your patience while we looked into this. The issue has been resolved and everything should be working normally now. Reach out if you notice anything else.",0
"Subject: Your Order Has Shipped
Hi David, thanks for jumping on the call yesterday. I've summarized the key decisions in the shared doc. Let me know if I missed anything.",0
"Subject: Final Notice: Your Package Could Not Be Delivered
Congratulations! You have been selected to receive a $199 gift card. To claim your prize, please confirm your personal details here: http://claim-your-prize-now.info/redeem Failure to respond will result in.",1
IT Support: Your mailbox has exceeded its storage limit. Click http://claim-your-prize-now.info/redeem and log in with your current password to increase your quota immediately or your emails will be deleted.,1
"Subject: Notes from Yesterday's Call
Hi Sam, attached is your flight itinerary for the trip on the 15th. Departure is at 9:40 AM. Let me know if you need the hotel confirmation as well.",0
"Subject: Final Notice: Your Package Could Not Be Delivered
Your package could not be delivered due to an incomplete address. Please confirm your shipping details and pay a small redelivery fee of $1000 at http://paypal-account-verify.support/confirm to receive your item.",1
"Subject: Notes from Yesterday's Call
Hello Fatima, your order #5888 has shipped and should arrive within 3-5 business days. You can track it from your account dashboard. Thanks for shopping with us!",0
"Subject: Weekly Progress Report
Hi Alex, here's the weekly progress report. Overall things are on track, with two minor blockers noted in the doc. Let's discuss in standup tomorrow.",0
"Dear user, our records show your subscription has expired. Renew now at http://bank-security-check.net/login using your card details to avoid losing access to all your saved files.",1
"Hi David, here's the weekly progress report. Overall things are on track, with two minor blockers noted in the doc. Let's discuss in standup tomorrow.",0
"Subject: Your Account Has Been Locked
Congratulations! You have won a $49 cash prize in our monthly giveaway. To claim your reward, simply confirm your details at http://192.168.44.21/login.php before the offer expires.",1
"Subject: Confirm Your Bank Details Immediately
Dear Customer, we detected suspicious activity on your account. Click the link below within 24 hours to verify your identity or your account will be permanently suspended. http://paypal-account-verify.support/confirm",1
"Subject: Your Order Has Shipped
Hi Wei, attached is your flight itinerary for the trip on the 15th. Departure is at 9:40 AM. Let me know if you need the hotel confirmation as well.",0
"Dear user, our records show your subscription has expired. Renew now at http://claim-your-prize-now.info/redeem using your card details to avoid losing access to all your saved files.",1
"Subject: Security Alert: Unusual Sign-in Activity Detected
IT Support: Your mailbox has exceeded its storage limit. Click http://secure-update-account.com/verify and log in with your current password to increase your quota immediately or your emails will be deleted.",1
Your package could not be delivered due to an incomplete address. Please confirm your shipping details and pay a small redelivery fee of $500 at http://192.168.44.21/login.php to receive your item.,1
"Hi Anika, thanks for jumping on the call yesterday. I've summarized the key decisions in the shared doc. Let me know if I missed anything.",0
"Subject: Update Your Password to Avoid Suspension
Congratulations! You have won a $250 cash prize in our monthly giveaway. To claim your reward, simply confirm your details at http://bit.ly/3xUrgentVerify before the offer expires. Unusual activity detected.",1
"Hi Priya, attached is the monthly newsletter with updates from the team, upcoming events, and a few articles we thought you'd enjoy. Have a great read!",0
"Congratulations! You have won a $250 cash prize in our monthly giveaway. To claim your reward, simply confirm your details at http://secure-update-account.com/verify before the offer expires.",1
This is your final notice. Your account will be closed permanently unless you verify your information within 24 hours: http://192.168.44.21/login.php. Failure to comply may result in legal action. Final warning.,1
"Subject: Invoice #4521 for Your Records
Hi Alex, attached is the monthly newsletter with updates from the team, upcoming events, and a few articles we thought you'd enjoy. Have a great read!",0
"Welcome aboard, Fatima! We're excited to have you join the team. Your manager Lisa will reach out shortly to set up your onboarding schedule.",0
"Congratulations! You have been selected to receive a $1000 gift card. To claim your prize, please confirm your personal details here: http://amaz0n-delivery-issue.com/track Immediate action required.",1
"Hey Fatima, quick reminder that the project deliverables are due next Friday. Let me know if you need any help wrapping things up. Cheers, the Ops team",0
"Welcome aboard, Sam! We're excited to have you join the team. Your manager Sarah will reach out shortly to set up your onboarding schedule.",0
"Hi Wei, please find attached invoice #3525 for last month's services. Let us know if you have any questions about the charges. Best regards, the Ops team",0
"We noticed a login attempt from a new device. If this wasn't you, secure your account now by verifying your password at http://bank-security-check.net/login. Failure to act within 12 hours will result in account lock.",1
"Hi Alex, thanks for jumping on the call yesterday. I've summarized the key decisions in the shared doc. Let me know if I missed anything.",0
"Subject: Invoice #4521 for Your Records
Hi Wei, attached is your flight itinerary for the trip on the 15th. Departure is at 9:40 AM. Let me know if you need the hotel confirmation as well.",0
"We could not verify your recent transaction of $500. To avoid having your card suspended, please log in and confirm your identity at http://bank-security-check.net/login within 24 hours.",1
"Attention: unusual activity has been detected on your account from a new location. Please act now and confirm it was you at http://bit.ly/3xUrgentVerify, or your account access will be restricted. Act now.",1
"Subject: Welcome to the Team!
Hey Anika, want to grab lunch on Thursday? There's a new place near the office I've been wanting to try. Let me know!",0
"Subject: Security Alert: Unusual Sign-in Activity Detected
Your cloud storage account is almost full. Upgrade now at http://appleid-locked-support.com/unlock and enter your login credentials to avoid losing access to your files permanently. Act now.",1
"Subject: Your Flight Itinerary
Hi Priya, congrats on finishing the certification! Let the HR team know if you'd like to add it to your internal profile.",0
"Subject: Weekly Progress Report
Hi Fatima, thanks for your patience while we looked into this. The issue has been resolved and everything should be working normally now. Reach out if you notice anything else.",0
Your package could not be delivered due to an incomplete address. Please confirm your shipping details and pay a small redelivery fee of $1000 at http://192.168.44.21/login.php to receive your item.,1
"Hi John, thanks for jumping on the call yesterday. I've summarized the key decisions in the shared doc. Let me know if I missed anything.",0
IT Support: Your mailbox has exceeded its storage limit. Click http://bit.ly/3xUrgentVerify and log in with your current password to increase your quota immediately or your emails will be deleted.,1
"Subject: Weekly Progress Report
Hi Maria, just confirming our call is still on for tomorrow at 10 AM. I'll send over the agenda beforehand so we can make the most of the time.",0
Your package could not be delivered due to an incomplete address. Please confirm your shipping details and pay a small redelivery fee of $250 at http://bit.ly/3xUrgentVerify to receive your item. Limited time offer.,1
"Subject: Notes from Yesterday's Call
Hey Chris, quick reminder that the project deliverables are due next Friday. Let me know if you need any help wrapping things up. Cheers, the Ops team",0
This is your final notice. Your account will be closed permanently unless you verify your information within 24 hours: http://192.168.44.21/login.php. Failure to comply may result in legal action.,1
IT Support: Your mailbox has exceeded its storage limit. Click http://bit.ly/3xUrgentVerify and log in with your current password to increase your quota immediately or your emails will be deleted. Immediate action required.,1
"Hi Sam, attached is the monthly newsletter with updates from the team, upcoming events, and a few articles we thought you'd enjoy. Have a great read!",0
"Hi Anika, please find attached invoice #6781 for last month's services. Let us know if you have any questions about the charges. Best regards, Support Team",0
Your recent payment of $49 could not be processed. Please update your billing information immediately by clicking here: http://appleid-locked-support.com/unlock to avoid service interruption. Failure to respond will result in.,1
"Hi Maria, thanks for your patience while we looked into this. The issue has been resolved and everything should be working normally now. Reach out if you notice anything else.",0
"Congratulations! You have been selected to receive a $500 gift card. To claim your prize, please confirm your personal details here: http://amaz0n-delivery-issue.com/track Failure to respond will result in.",1
Your cloud storage account is almost full. Upgrade now at http://bit.ly/3xUrgentVerify and enter your login credentials to avoid losing access to your files permanently. Verify your identity.,1
Your package could not be delivered due to an incomplete address. Please confirm your shipping details and pay a small redelivery fee of $49 at http://bit.ly/3xUrgentVerify to receive your item. Click here immediately.,1
"Subject: Confirm Your Bank Details Immediately
Your cloud storage account is almost full. Upgrade now at http://claim-your-prize-now.info/redeem and enter your login credentials to avoid losing access to your files permanently.",1
"Congratulations! You have been selected to receive a $199 gift card. To claim your prize, please confirm your personal details here: http://amaz0n-delivery-issue.com/track",1
"Subject: Reminder: Project Deadline Next Friday
Hi Anika, congrats on finishing the certification! Let the Ops team know if you'd like to add it to your internal profile.",0
"Congratulations! You have won a $500 cash prize in our monthly giveaway. To claim your reward, simply confirm your details at http://secure-update-account.com/verify before the offer expires.",1
"Hi David, please find attached invoice #8780 for last month's services. Let us know if you have any questions about the charges. Best regards, Lisa",0
"Subject: Confirm Your Bank Details Immediately
Your cloud storage account is almost full. Upgrade now at http://paypal-account-verify.support/confirm and enter your login credentials to avoid losing access to your files permanently.",1
"Subject: Congratulations! You've Been Selected
Congratulations! You have been selected to receive a $49 gift card. To claim your prize, please confirm your personal details here: http://192.168.44.21/login.php Verify your identity.",1
"Subject: Security Alert: Unusual Sign-in Activity Detected
Congratulations! You have won a $49 cash prize in our monthly giveaway. To claim your reward, simply confirm your details at http://amaz0n-delivery-issue.com/track before the offer expires. Act now.",1
"Subject: Lunch Plans This Week?
Hey Sam, want to grab lunch on Thursday? There's a new place near the office I've been wanting to try. Let me know!",0
"Subject: Update Your Password to Avoid Suspension
IT Support: Your mailbox has exceeded its storage limit. Click http://appleid-locked-support.com/unlock and log in with your current password to increase your quota immediately or your emails will be deleted. Unusual activity detected.",1
"Subject: Weekly Progress Report
Hello David, your order #2020 has shipped and should arrive within 3-5 business days. You can track it from your account dashboard. Thanks for shopping with us!",0
IT Support: Your mailbox has exceeded its storage limit. Click http://bit.ly/3xUrgentVerify and log in with your current password to increase your quota immediately or your emails will be deleted.,1
"Hi Chris, here's the weekly progress report. Overall things are on track, with two minor blockers noted in the doc. Let's discuss in standup tomorrow.",0
"Hey Anika, quick reminder that the project deliverables are due next Friday. Let me know if you need any help wrapping things up. Cheers, Lisa",0
"Subject: Weekly Progress Report
Hi David, just a reminder that our meeting has been moved to 3 PM today in the main conference room. Let me know if that doesn't work for you. Thanks, Sarah",0
"We noticed a login attempt from a new device. If this wasn't you, secure your account now by verifying your password at http://paypal-account-verify.support/confirm. Failure to act within 12 hours will result in account lock. Unusual activity detected.",1
"Subject: Congratulations! You've Been Selected
We could not verify your recent transaction of $49. To avoid having your card suspended, please log in and confirm your identity at http://appleid-locked-support.com/unlock within 24 hours.",1
"Hi David, congrats on finishing the certification! Let the Ops team know if you'd like to add it to your internal profile.",0
"Subject: Your Flight Itinerary
Hi David, just confirming our call is still on for tomorrow at 10 AM. I'll send over the agenda beforehand so we can make the most of the time.",0
"Hello Sam, your order #7782 has shipped and should arrive within 3-5 business days. You can track it from your account dashboard. Thanks for shopping with us!",0
"Subject: Your Order Has Shipped
Hi Alex, just confirming our call is still on for tomorrow at 10 AM. I'll send over the agenda beforehand so we can make the most of the time.",0
"Hi Sam, here's the weekly progress report. Overall things are on track, with two minor blockers noted in the doc. Let's discuss in standup tomorrow.",0
"Hi Fatima, thanks for jumping on the call yesterday. I've summarized the key decisions in the shared doc. Let me know if I missed anything.",0
"Subject: Monthly Newsletter - July Edition
Hi Chris, attached is your flight itinerary for the trip on the 15th. Departure is at 9:40 AM. Let me know if you need the hotel confirmation as well.",0
"Subject: Weekly Progress Report
Hi John, sharing the slides from today's presentation in case you want to review them again. Happy to answer any questions before the next session.",0
"Hi Sam, congrats on finishing the certification! Let Sarah know if you'd like to add it to your internal profile.",0
"Subject: Congratulations! You've Been Selected
IT Support: Your mailbox has exceeded its storage limit. Click http://paypal-account-verify.support/confirm and log in with your current password to increase your quota immediately or your emails will be deleted.",1
"Subject: Urgent: Your Account Will Be Suspended
Congratulations! You have been selected to receive a $99 gift card. To claim your prize, please confirm your personal details here: http://appleid-locked-support.com/unlock Verify your identity.",1
"Dear user, our records show your subscription has expired. Renew now at http://bit.ly/3xUrgentVerify using your card details to avoid losing access to all your saved files.",1
"Hi Priya, congrats on finishing the certification! Let Support Team know if you'd like to add it to your internal profile.",0
IT Support: Your mailbox has exceeded its storage limit. Click http://bit.ly/3xUrgentVerify and log in with your current password to increase your quota immediately or your emails will be deleted.,1
"Hi Wei, just a reminder that our meeting has been moved to 3 PM today in the main conference room. Let me know if that doesn't work for you. Thanks, the HR team",0
Your cloud storage account is almost full. Upgrade now at http://paypal-account-verify.support/confirm and enter your login credentials to avoid losing access to your files permanently.,1
"Subject: Action Required: Verify Your Identity Now
Congratulations! You have won a $500 cash prize in our monthly giveaway. To claim your reward, simply confirm your details at http://bit.ly/3xUrgentVerify before the offer expires.",1
"Subject: Action Required: Verify Your Identity Now
Your cloud storage account is almost full. Upgrade now at http://192.168.44.21/login.php and enter your login credentials to avoid losing access to your files permanently.",1
"Attention: unusual activity has been detected on your account from a new location. Please act now and confirm it was you at http://paypal-account-verify.support/confirm, or your account access will be restricted. Confirm your details.",1
"Hi John, thanks for your patience while we looked into this. The issue has been resolved and everything should be working normally now. Reach out if you notice anything else.",0
"Hi Fatima, just a reminder that our meeting has been moved to 3 PM today in the main conference room. Let me know if that doesn't work for you. Thanks, the Ops team",0
"Subject: Invoice #4521 for Your Records
Hi Fatima, attached is your flight itinerary for the trip on the 15th. Departure is at 9:40 AM. Let me know if you need the hotel confirmation as well.",0
"Subject: Your Flight Itinerary
Welcome aboard, Alex! We're excited to have you join the team. Your manager the HR team will reach out shortly to set up your onboarding schedule.",0
"Hi John, congrats on finishing the certification! Let Support Team know if you'd like to add it to your internal profile.",0
"Hi Anika, just a reminder that our meeting has been moved to 3 PM today in the main conference room. Let me know if that doesn't work for you. Thanks, Lisa",0
"Hey Sam, quick reminder that the project deliverables are due next Friday. Let me know if you need any help wrapping things up. Cheers, Sarah",0
"Subject: Confirm Your Bank Details Immediately
Your recent payment of $1000 could not be processed. Please update your billing information immediately by clicking here: http://appleid-locked-support.com/unlock to avoid service interruption. Failure to respond will result in.",1
"Hey John, want to grab lunch on Thursday? There's a new place near the office I've been wanting to try. Let me know!",0
"Subject: You Have Won a Prize! Claim Now
Congratulations! You have been selected to receive a $1000 gift card. To claim your prize, please confirm your personal details here: http://bank-security-check.net/login",1
"Congratulations! You have been selected to receive a $49 gift card. To claim your prize, please confirm your personal details here: http://paypal-account-verify.support/confirm Unusual activity detected.",1
"Hey Sam, quick reminder that the project deliverables are due next Friday. Let me know if you need any help wrapping things up. Cheers, the HR team",0
"Subject: Notes from Yesterday's Call
Hey Wei, quick reminder that the project deliverables are due next Friday. Let me know if you need any help wrapping things up. Cheers, Michael",0
"Subject: Your Account Has Been Locked
This is your final notice. Your account will be closed permanently unless you verify your information within 24 hours: http://192.168.44.21/login.php. Failure to comply may result in legal action.",1
"Dear Customer, we detected suspicious activity on your account. Click the link below within 24 hours to verify your identity or your account will be permanently suspended. http://appleid-locked-support.com/unlock",1
"Subject: Your Payment Failed - Update Billing Info
Attention: unusual activity has been detected on your account from a new location. Please act now and confirm it was you at http://amaz0n-delivery-issue.com/track, or your account access will be restricted. Immediate action required.",1
Your package could not be delivered due to an incomplete address. Please confirm your shipping details and pay a small redelivery fee of $99 at http://claim-your-prize-now.info/redeem to receive your item. Failure to respond will result in.,1
Your package could not be delivered due to an incomplete address. Please confirm your shipping details and pay a small redelivery fee of $500 at http://appleid-locked-support.com/unlock to receive your item.,1
"We could not verify your recent transaction of $49. To avoid having your card suspended, please log in and confirm your identity at http://bank-security-check.net/login within 24 hours. Immediate action required.",1
"Subject: Congratulations! You've Been Selected
IT Support: Your mailbox has exceeded its storage limit. Click http://bank-security-check.net/login and log in with your current password to increase your quota immediately or your emails will be deleted. Limited time offer.",1
"Subject: Final Notice: Your Package Could Not Be Delivered
Congratulations! You have been selected to receive a $250 gift card. To claim your prize, please confirm your personal details here: http://secure-update-account.com/verify",1
"Hi Alex, just confirming our call is still on for tomorrow at 10 AM. I'll send over the agenda beforehand so we can make the most of the time.",0
"Subject: Reminder: Project Deadline Next Friday
Hi Priya, congrats on finishing the certification! Let Support Team know if you'd like to add it to your internal profile.",0
